project_id,name,cost,labor,profit
0,Enterprise Migration,65.6,147.2,161.2
1,Enterprise Redesign,143.3,53.5,230
2,Enterprise Integration,113.8,40.3,184.2
3,Enterprise Automation,95.8,88.5,194.5
4,Enterprise Dashboard,36.1,158,163
5,Enterprise Platform,36.1,53.9,113.1
6,Enterprise API,22.8,114.1,108.9
7,Enterprise Pipeline,131.9,126.6,248.6
8,Enterprise Analytics,96.2,53.3,181.8
9,Enterprise Refactor,110.6,122,215.5
10,Enterprise Rewrite,17.8,71.5,73
11,Enterprise Rollout,145.9,108.5,243.7
12,Enterprise Testing,127.4,108.7,217.1
13,Enterprise Audit,43.7,95,146.9
14,Enterprise Infrastructure,39.5,32.6,97.7
15,Enterprise Portal,39.8,136.9,153.7
16,Enterprise System,56.1,64.9,117.3
17,Enterprise Warehouse,85.8,46.1,132.9
18,Enterprise Optimizer,73.3,25.7,103.5
19,Enterprise Audit Tool,54.3,102.7,129.7
20,Cloud Migration,97.6,114.9,208.3
21,Cloud Redesign,33.8,22.3,78
22,Cloud Integration,54.4,91.7,143.7
23,Cloud Automation,64.5,51.7,113.9
24,Cloud Dashboard,76.6,110.3,198.5
25,Cloud Platform,121,44.4,205.8
26,Cloud API,42,116.7,137.3
27,Cloud Pipeline,84.4,74.1,169.8
28,Cloud Analytics,95,151.1,220.1
29,Cloud Refactor,21.3,39.3,48.7
